1958,1961,1964,1967,1970,1973,1976,1979,1982
dictatorship,dictatorship,socialism,muddle,monster,shamble,fragmentation,bunch,friction
Communism,Communism,imperialism,stupidity,bureaucracy,friction,friction,function,bureaucracy
violence,fascist,philosophy,gimmick,tyranny,politician,bureaucracy,friction,undemocratic
conspiracy,hypocrisy,dictatorship,ineptitude,confusion,nightmare,complication,bureaucratic,quango
editor,communist,bureaucracy,smokescreen,friction,catastrophe,bureaucratic,cumbersome,elite
soul,cynicism,myth,stupid,oppression,irresponsibility,myth,confusion,confusion
colonialism,dictator,Communism,cumbersome,creature,administrator,politician,monster,wasteful
brutality,feudal,tyranny,planning,shamble,ugly,puppet,unnecessary,disintegration
terrorism,contempt,dictator,unfair,Communism,extravagant,surveillance,bureaucracy,fragmentation
crime,integration,novelty,dictator,complication,chaos,machinery,simplify,politician
cynicism,rationalisation,fascist,diversification,capitalism,fragmentation,incompetence,structure,complication
revolt,capitalism,obscurity,incompetence,tangle,mismanagement,duplication,fragmentation,bureaucratic
domination,democracy,muddle,rationalisation,art,incompetence,bureaucrat,agency,prerogative
tyranny,tyranny,dogma,blunder,sloppy,monolithic,unnecessary,monstrosity,inefficient
myth,reorganise,oppression,regionalism,verbiage,clumsy,monstrosity,department,incompetence
slogan,indifference,fallacy,Legislature,ghastly,centralised,tyranny,evasion,overmanning
